29596:
ClassLoader         Parent              CLD*               Classes   ChunkSz   BlockSz  Type
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d4f80       4     16384     15304  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666998b0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cc4a0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666a9c90       4     20480     15296  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669f840       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d3ae0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666a2d30       4     20480     14920  java.net.URLClassLoader
0x00000272203e3258  0x000002721f06a1c0  0x00000272666b1d20       0         0         0  org.springframework.boot.web.embedded.tomcat.TomcatEmbeddedWebappClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2dd0       4     20480     15408  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d4270       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2850       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d27a0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d1250       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cb370       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ac5d0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669cfb0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669b380       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666a1050       4     20480     14920  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666984c0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d7600       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d6000       4     20480     15648  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cf6d0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cdb50       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666a17e0       4     20480     14920  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669ffd0       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ca3a0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669ca30       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c8b90       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c0f20       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2640       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d66e0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d59d0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cbdc0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669c4b0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669c140       4     20480     15016  java.net.URLClassLoader
